Isolate,Location,Latitude,Longitude,Publication,Sequence_Type,Lab_Isolate,Other_info
R15S2_chatto2003,India_OrissaRourkela,#N/A,#N/A,chatto2003,,,
R15S3_chatto2003,India_OrissaRourkela,#N/A,#N/A,chatto2003,,,
R15S4_chatto2003,India_OrissaRourkela,#N/A,#N/A,chatto2003,,,
R15S5_chatto2003,India_OrissaRourkela,#N/A,#N/A,chatto2003,,,
R15S6_chatto2003,India_OrissaRourkela,#N/A,#N/A,chatto2003,,,
R15S7_chatto2003,India_OrissaRourkela,#N/A,#N/A,chatto2003,,,
R15S8_chatto2003,India_OrissaRourkela,#N/A,#N/A,chatto2003,,,
R15S9_chatto2003,India_OrissaRourkela,#N/A,#N/A,chatto2003,,,
R35S1_chatto2003,India_OrissaRourkela,#N/A,#N/A,chatto2003,,,
R35S2_chatto2003,India_OrissaRourkela,#N/A,#N/A,chatto2003,,,
R35S3_chatto2003,India_OrissaRourkela,#N/A,#N/A,chatto2003,,,
R35S4_chatto2003,India_OrissaRourkela,#N/A,#N/A,chatto2003,,,
R35S5_chatto2003,India_OrissaRourkela,#N/A,#N/A,chatto2003,,,
R35S6_chatto2003,India_OrissaRourkela,#N/A,#N/A,chatto2003,,,
R35S7_chatto2003,India_OrissaRourkela,#N/A,#N/A,chatto2003,,,
R35S8_chatto2003,India_OrissaRourkela,#N/A,#N/A,chatto2003,,,
R35S9_chatto2003,India_OrissaRourkela,#N/A,#N/A,chatto2003,,,
VZ#1_tami2003,Venezuela,6.42375,-66.58973,tami2003,,,
VZ#2_tami2003,Venezuela,6.42375,-66.58973,tami2003,,,
VZ#3_tami2003,Venezuela,6.42375,-66.58973,tami2003,,,
4013_bull2005,Kenya_Kilifi,#N/A,#N/A,bull2005,cDNA,,
4129_bull2005,Kenya_Kilifi,#N/A,#N/A,bull2005,cDNA,,
4130_bull2005,Kenya_Kilifi,#N/A,#N/A,bull2005,cDNA,,
4140_bull2005,Kenya_Kilifi,#N/A,#N/A,bull2005,cDNA,,
4142_bull2005,Kenya_Kilifi,#N/A,#N/A,bull2005,cDNA,,
4161_bull2005,Kenya_Kilifi,#N/A,#N/A,bull2005,cDNA,,
4162_bull2005,Kenya_Kilifi,#N/A,#N/A,bull2005,cDNA,,
4168_bull2005,Kenya_Kilifi,#N/A,#N/A,bull2005,cDNA,,
4172_bull2005,Kenya_Kilifi,#N/A,#N/A,bull2005,cDNA,,
4178_bull2005,Kenya_Kilifi,#N/A,#N/A,bull2005,cDNA,,
4180_bull2005,Kenya_Kilifi,#N/A,#N/A,bull2005,cDNA,,
4187_bull2005,Kenya_Kilifi,#N/A,#N/A,bull2005,cDNA,,
ARI_Albrecht2010,Brazil,-14.235004,-51.92528,Albrecht2010,,,
DD2_fowler2002,Thailand,15.870032,100.992541,fowler2002,,,
AN143_fowler2002,Papua New Guinea,-6.314993,143.95555,fowler2002,,,
N72_fowler2002,Solomon Islands,-9.64571,160.156194,fowler2002,,,
S2_fowler2002,Solomon Islands,-9.64571,160.156194,fowler2002,,,
S55_fowler2002,Solomon Islands,-9.64571,160.156194,fowler2002,,,
S99_fowler2002,Solomon Islands,-9.64571,160.156194,fowler2002,,,
PH1_fowler2002,Philippines,12.879721,121.774017,fowler2002,,,
PH4_fowler2002,Philippines,12.879721,121.774017,fowler2002,,,
NF36_fowler2002,Africa,-8.783195,34.508523,fowler2002,,,
unknown_kaestli2006,Papua New Guinea,-6.314993,143.95555,kaestli2006,,,
BK10_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1000_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1005_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1006_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1009_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
